Project_ID,Project_Type,Location,Area_Impacted,Air_Emissions,Water_Pollution,Habitat_Loss,Carbon_Footprint,Mitigation_Plan,Impact_Score,Budget,Duration,Stakeholders,Public_Acceptance,Sustainability_Practices,States,States_Code
Project_68,Water Management,City_B,77.44,318.07,56.75,2.89,6529.04,Implemented,82.73,5385227,8,"['Government', 'Local Community', 'Government']",High,"['Waste Management', 'Green Infrastructure']",Iowa,IA
Project_69,Transportation,City_D,58.15,826.12,79.99,3.71,2071.3,Planned,33.43,5077633,34,"['Environmental Organization', 'Government', 'Environmental Organization']",Low,"['Waste Management', 'Energy Efficiency']",Kansas,KS
Project_70,Energy,City_B,27.9,311.45,66.98,6.27,9847.92,Planned,59.51,2080654,6,"['Environmental Organization', 'Private Sector', 'Local Community']",High,"['Waste Management', 'Energy Efficiency']",Kentucky,KY
Project_71,Transportation,City_A,67.73,630.66,33.62,3.14,6831.15,Planned,13.85,6317478,10,"['Environmental Organization', 'Government', 'Environmental Organization']",Medium,"['Renewable Energy', 'Waste Management']",Louisiana,LA
Project_72,Transportation,City_A,55.21,256.13,82.82,6.16,5635.31,Not Applicable,91.15,2435018,52,"['Government', 'Environmental Organization', 'Environmental Organization']",Low,"['Waste Management', 'Energy Efficiency']",Maine,ME
Project_73,Water Management,City_C,47.79,470.38,30.16,4,4244.24,Implemented,29.87,4432387,45,"['Private Sector', 'Local Community', 'Government']",Medium,"['Waste Management', 'Waste Management']",Maryland,MD
Project_74,Energy,City_D,93.5,676.18,38.87,6.53,9484.27,Implemented,1.21,7575985,33,"['Environmental Organization', 'Local Community', 'Government']",Medium,"['Green Infrastructure', 'Energy Efficiency']",Massachusetts,MA
Project_75,Transportation,City_E,50.69,413.41,13.1,4.68,3895.27,Planned,57.12,7738822,37,"['Government', 'Environmental Organization', 'Environmental Organization']",Low,"['Energy Efficiency', 'Renewable Energy']",Michigan,MI
Project_76,Water Management,City_D,16.06,325.72,75.18,2.43,4175.69,Implemented,87.77,7912235,52,"['Local Community', 'Local Community', 'Private Sector']",High,"['Green Infrastructure', 'Renewable Energy']",Minnesota,MN
Project_77,Energy,City_B,18.84,942.54,18.42,6.17,9573.8,Implemented,67.26,6959759,52,"['Environmental Organization', 'Local Community', 'Private Sector']",Low,"['Renewable Energy', 'Renewable Energy']",Mississippi,MS
Project_78,Water Management,City_A,35.01,325.48,89.44,4.45,4883.44,Planned,28.1,8253936,12,"['Private Sector', 'Environmental Organization', 'Environmental Organization']",Medium,"['Green Infrastructure', 'Waste Management']",Missouri,MO
Project_79,Construction,City_D,96.13,258.17,37.84,8.42,1455.08,Implemented,86.23,1127922,34,"['Government', 'Local Community', 'Local Community']",Medium,"['Green Infrastructure', 'Renewable Energy']",Montana,MT
Project_80,Transportation,City_B,88.13,317.6,11.64,5.57,8117.24,Implemented,46.56,958657,14,"['Environmental Organization', 'Environmental Organization', 'Private Sector']",High,"['Waste Management', 'Waste Management']",Nebraska,NE
Project_81,Construction,City_A,51.57,963.28,26.31,1.86,8356.62,Implemented,32.39,4766431,42,"['Government', 'Government', 'Local Community']",Low,"['Energy Efficiency', 'Green Infrastructure']",Nevada,NV
Project_82,Construction,City_C,4.46,830.19,16.71,6.89,6846.54,Implemented,59.28,3413776,27,"['Environmental Organization', 'Environmental Organization', 'Local Community']",Low,"['Waste Management', 'Energy Efficiency']",New Hampshire,NH
Project_83,Transportation,City_B,71.68,559.25,53.52,1.13,1783.68,Planned,16.54,926577,13,"['Environmental Organization', 'Government', 'Local Community']",Medium,"['Renewable Energy', 'Green Infrastructure']",New Jersey,NJ
Project_84,Transportation,City_D,2.32,125.77,68.73,3.82,8150.15,Not Applicable,84.3,9385365,40,"['Private Sector', 'Environmental Organization', 'Local Community']",Medium,"['Renewable Energy', 'Renewable Energy']",New Mexico,NM
Project_85,Urban Development,City_B,84.16,982.94,65.9,3.57,1155.74,Implemented,47.78,7576501,35,"['Government', 'Environmental Organization', 'Environmental Organization']",High,"['Waste Management', 'Renewable Energy']",New York,NY
Project_86,Transportation,City_C,36.65,480.49,14.26,6.84,5521.84,Planned,56.45,1788227,48,"['Private Sector', 'Private Sector', 'Environmental Organization']",Low,"['Waste Management', 'Waste Management']",North Carolina,NC
Project_87,Water Management,City_B,84.63,873.64,65.75,2.34,5196.45,Not Applicable,82.57,733357,19,"['Environmental Organization', 'Private Sector', 'Environmental Organization']",Low,"['Green Infrastructure', 'Renewable Energy']",North Dakota,ND
Project_88,Urban Development,City_B,47.09,287.4,18.31,8.78,5730.89,Not Applicable,50.62,7250934,39,"['Local Community', 'Environmental Organization', 'Local Community']",High,"['Renewable Energy', 'Green Infrastructure']",Ohio,OH
Project_89,Urban Development,City_A,59.19,596.56,51.49,8.16,7890.95,Implemented,3.91,7075964,34,"['Private Sector', 'Private Sector', 'Environmental Organization']",Medium,"['Green Infrastructure', 'Energy Efficiency']",Oklahoma,OK
Project_90,Water Management,City_E,83.04,801.42,73.87,6.9,6653.83,Not Applicable,92.14,3773153,58,"['Private Sector', 'Environmental Organization', 'Government']",Medium,"['Energy Efficiency', 'Waste Management']",Oregon,OR
Project_91,Transportation,City_A,98.18,696.62,94.03,5.54,4201.93,Planned,54.46,9321801,7,"['Government', 'Local Community', 'Government']",Medium,"['Waste Management', 'Energy Efficiency']",Pennsylvania,PA
Project_92,Construction,City_D,65.6,927.88,98.55,6.73,2973.5,Implemented,92.61,3055882,46,"['Private Sector', 'Local Community', 'Private Sector']",Low,"['Renewable Energy', 'Waste Management']",Rhode Island,RI
Project_93,Construction,City_C,12.81,654.69,27.26,7.42,1247.23,Implemented,62.37,2015139,20,"['Environmental Organization', 'Local Community', 'Government']",Medium,"['Waste Management', 'Waste Management']",South Carolina,SC
Project_94,Urban Development,City_E,87.65,422.19,59.28,0.52,9933.42,Planned,45.34,8081317,24,"['Local Community', 'Private Sector', 'Local Community']",Medium,"['Energy Efficiency', 'Green Infrastructure']",South Dakota,SD
Project_95,Transportation,City_E,57.05,558.94,95.75,8.95,7859.5,Not Applicable,11.34,2736353,37,"['Local Community', 'Private Sector', 'Local Community']",Medium,"['Waste Management', 'Energy Efficiency']",Tennessee,TN
Project_96,Urban Development,City_D,37.57,244.09,52.18,0.66,4805.45,Planned,79.16,8752370,42,"['Government', 'Local Community', 'Government']",Low,"['Energy Efficiency', 'Renewable Energy']",Texas,TX
Project_97,Construction,City_D,10.26,609.59,18.08,9.68,8404.52,Implemented,99.1,8626602,16,"['Private Sector', 'Environmental Organization', 'Local Community']",Medium,"['Energy Efficiency', 'Renewable Energy']",Utah,UT
Project_98,Construction,City_A,36.07,683.05,96.35,6.39,7729.41,Implemented,79.65,8945186,22,"['Environmental Organization', 'Local Community', 'Local Community']",High,"['Energy Efficiency', 'Waste Management']",Vermont,VT
Project_99,Energy,City_E,9.18,203.23,99.58,4.63,3431.66,Planned,38.69,1999348,17,"['Local Community', 'Government', 'Private Sector']",Low,"['Waste Management', 'Renewable Energy']",Virginia,VA
Project_100,Transportation,City_A,83.87,836.98,20.16,3.04,3649.91,Implemented,93.35,5138947,28,"['Environmental Organization', 'Environmental Organization', 'Government']",Medium,"['Waste Management', 'Waste Management']",Washington,WA
Project_101,Transportation,City_C,34.64,335,88.77,3.2,5071.05,Implemented,55.26,3792209,39,"['Local Community', 'Environmental Organization', 'Government']",Medium,"['Green Infrastructure', 'Renewable Energy']",West Virginia,WV
Project_102,Water Management,City_E,83.49,589.85,56.78,9.48,9850.47,Implemented,1.13,4565435,14,"['Environmental Organization', 'Government', 'Environmental Organization']",Medium,"['Green Infrastructure', 'Renewable Energy']",Wisconsin,WI
Project_103,Construction,City_A,34.23,508.15,51.73,3.48,1239.19,Planned,25.19,3118613,57,"['Government', 'Private Sector', 'Local Community']",High,"['Renewable Energy', 'Green Infrastructure']",Wyoming,WY
Project_104,Construction,City_A,15.89,741.04,92.78,2.89,4599.02,Not Applicable,98.12,2192575,41,"['Local Community', 'Government', 'Local Community']",High,"['Energy Efficiency', 'Waste Management']",Puerto Rico,PR
Project_105,Transportation,City_B,95.55,309.25,64.16,5.65,4730.09,Not Applicable,42.11,1248410,22,"['Local Community', 'Government', 'Environmental Organization']",Low,"['Renewable Energy', 'Waste Management']",Alabama,AL
Project_106,Construction,City_E,56.15,174.13,42.82,8.87,4743.12,Planned,95.99,4688396,6,"['Environmental Organization', 'Environmental Organization', 'Private Sector']",Low,"['Waste Management', 'Green Infrastructure']",Alaska,AK
Project_107,Urban Development,City_A,49.16,912.81,85.41,3.53,7896.3,Not Applicable,48.84,4960787,12,"['Environmental Organization', 'Government', 'Environmental Organization']",High,"['Renewable Energy', 'Renewable Energy']",Arizona,AZ
Project_108,Transportation,City_D,86.67,492.8,70.14,4.87,3056.55,Planned,36.82,3920199,39,"['Environmental Organization', 'Environmental Organization', 'Environmental Organization']",High,"['Renewable Energy', 'Green Infrastructure']",Arkansas,AR
Project_109,Water Management,City_D,74.15,343.62,75.41,8.41,9747.31,Planned,41.52,3891355,56,"['Government', 'Government', 'Government']",Low,"['Waste Management', 'Green Infrastructure']",California,CA
Project_110,Urban Development,City_A,22.77,964.46,87.88,1.51,1589.5,Implemented,6.7,3222312,41,"['Government', 'Environmental Organization', 'Private Sector']",High,"['Green Infrastructure', 'Waste Management']",Colorado,CO
Project_111,Water Management,City_A,86.46,361.06,75.33,8.58,3678.24,Not Applicable,14.74,2479734,39,"['Environmental Organization', 'Local Community', 'Private Sector']",High,"['Waste Management', 'Green Infrastructure']",Connecticut,CT
Project_112,Energy,City_A,39.13,443.08,47.67,4.04,7359.1,Implemented,51.38,9771072,39,"['Environmental Organization', 'Government', 'Government']",High,"['Waste Management', 'Green Infrastructure']",Delaware,DE
Project_113,Transportation,City_C,88.57,422.58,81.05,9.59,1347.47,Planned,61.88,2612985,35,"['Government', 'Government', 'Environmental Organization']",Medium,"['Energy Efficiency', 'Green Infrastructure']",District of Columbia,DC
Project_114,Construction,City_A,63.13,354.4,73.87,9,2092.35,Implemented,41.45,9288469,18,"['Private Sector', 'Environmental Organization', 'Environmental Organization']",Low,"['Energy Efficiency', 'Energy Efficiency']",Florida,FL
Project_115,Transportation,City_A,37.76,825.07,63.49,8.68,3282.04,Not Applicable,39.25,1322757,16,"['Local Community', 'Private Sector', 'Local Community']",Medium,"['Waste Management', 'Renewable Energy']",Georgia,GA
Project_116,Water Management,City_B,36.14,211.5,30.37,6.47,8325.88,Not Applicable,4.77,4709907,23,"['Environmental Organization', 'Private Sector', 'Local Community']",High,"['Energy Efficiency', 'Renewable Energy']",Hawaii,HI
Project_117,Urban Development,City_C,31.41,523.2,42.36,0.81,3743,Implemented,69.69,9782984,28,"['Local Community', 'Private Sector', 'Government']",Medium,"['Energy Efficiency', 'Green Infrastructure']",Idaho,ID
Project_118,Energy,City_D,32.52,657.18,36.27,8.15,8376.39,Implemented,36.03,7250782,59,"['Environmental Organization', 'Private Sector', 'Environmental Organization']",Medium,"['Renewable Energy', 'Waste Management']",Illinois,IL
Project_119,Construction,City_D,65.31,286.93,58.72,4.83,5384.32,Planned,82.67,1789439,33,"['Environmental Organization', 'Private Sector', 'Government']",Low,"['Green Infrastructure', 'Waste Management']",Indiana,IN
Project_120,Energy,City_C,82.26,930.62,54.5,8.09,4135.84,Planned,15.33,7730131,34,"['Environmental Organization', 'Private Sector', 'Private Sector']",Medium,"['Renewable Energy', 'Energy Efficiency']",Iowa,IA
Project_121,Water Management,City_C,30.1,413.27,96.91,4.58,6765.58,Not Applicable,22.12,2618633,35,"['Local Community', 'Private Sector', 'Local Community']",High,"['Renewable Energy', 'Renewable Energy']",Kansas,KS
Project_122,Transportation,City_A,40.31,922.41,46.8,5.6,1519.36,Not Applicable,67.45,9048999,52,"['Private Sector', 'Private Sector', 'Private Sector']",Low,"['Renewable Energy', 'Green Infrastructure']",Kentucky,KY
Project_123,Transportation,City_A,53.5,152.12,33.47,6.4,3007.52,Planned,30.61,7660233,56,"['Private Sector', 'Local Community', 'Private Sector']",Medium,"['Green Infrastructure', 'Renewable Energy']",Louisiana,LA
Project_124,Construction,City_C,36.23,706.21,41.36,8.53,3812.54,Planned,93.52,8087929,17,"['Local Community', 'Environmental Organization', 'Private Sector']",High,"['Renewable Energy', 'Energy Efficiency']",Maine,ME
Project_125,Transportation,City_E,43.29,628.97,22.34,2.71,6200.86,Planned,48.39,3885234,55,"['Government', 'Environmental Organization', 'Private Sector']",Low,"['Energy Efficiency', 'Energy Efficiency']",Maryland,MD
Project_126,Transportation,City_A,51.15,400,38.53,1.74,6715.51,Implemented,8.41,9723630,26,"['Government', 'Environmental Organization', 'Environmental Organization']",Low,"['Green Infrastructure', 'Renewable Energy']",Massachusetts,MA
Project_127,Construction,City_B,21.93,981.5,70.38,5.2,1619.46,Implemented,22.07,3274965,45,"['Private Sector', 'Local Community', 'Local Community']",Low,"['Waste Management', 'Renewable Energy']",Michigan,MI
Project_128,Energy,City_E,60.64,178.2,82.48,8.24,7898.81,Not Applicable,19.91,4318368,19,"['Government', 'Local Community', 'Local Community']",High,"['Renewable Energy', 'Waste Management']",Minnesota,MN
Project_129,Transportation,City_C,46.95,493.06,84.53,3.91,4445.14,Not Applicable,51.18,2113243,39,"['Local Community', 'Government', 'Private Sector']",High,"['Renewable Energy', 'Green Infrastructure']",Mississippi,MS
Project_130,Water Management,City_B,18.32,868.47,41.83,1.8,6712.49,Not Applicable,42.79,1123904,17,"['Environmental Organization', 'Local Community', 'Government']",Low,"['Renewable Energy', 'Green Infrastructure']",Missouri,MO
